rating,reviewContent
2,cinema at home prepaid tv x watching thousand wkwk
2,the spirit of the filth that rots him pake nyh
2,try if sending lex has reached the deadline for sending
2,"send the cardboard pack open except for the Kaspersky Antivirus USB, I don't know if it doesn't have a promo, I don't regret it"
2,fast goods according to the description full metal dear original gb capacity only gb gb format that price is reasonable dear gb
2,"it's bad, it's clear that the speed is disappointed"
2,"use it straight away, don't just put it on standby, it's bad"
2,handsfree data cable buy hot sale
2,the goods have arrived
2,don't save videos
2,"Send the date of the message, the date of the packaging, the date of taking the expedition, the date of Jabotabek"
2,ya inch inch
2,nicezzzzz don't save the file
2,the wooden packing rod was was fortunately broken received tv warranty sticker coocoa off if I don't claim warranty anymore
2,COD items can't be used damaged
2,lumyan
2,no color
2,"I received the unit quickly, it seems that the error problem was not detected PS I used it for PSnan Micrsd but there are no problems"
2,"the goods are good, but sending uncertainty, that's all, cs lazada answered, but the transaction was canceled, hmm, a good solution"
2,"Disappointed, the goods are ready, the capacity, the problem, the goods are slow, the process is recommended, order the goods, you will be disappointed"
2,follow the steps to send it turns out that when installing startuse exe the input activation code turns out to be invalid
2,"when saving the file, the file is damaged, saving the image, the image is missing"
2,fd tidak bisa nyimpen video film
2,"the price is okay, the tv accepts the list, open it, worry, open the list, if the qc looks like it doesn't pass"
2,"Disappointed with the advertisement for the production selling unit, send remote, standard video advertisement, all that's left is to wait for the bonus speakers, hopefully sending buying suggestions is not complicated."
2,"it looks good, why is the GB RAM sometimes the application itself is Xiaomi GB, it doesn't look like that"
2,please help the tv turns off the lcd screen
2,I don't think so
2,"when transferring data from a USB cellphone, there is no transfer data, it doesn't open"
2,"the sound quality is satisfactory, I know the TV has sound problems, adjust the volume to listen to the sound"
2,"it's a shame it's slow to download the application, the battery runs out quickly"
2,"I was disappointed when I sent bombs, I received the status of the message, I'm sorry, don't make people think bad things about other people"
2,don't use usb
2,go
2,"send led tv, kq, no packing, it's bad to buy a broken box, the screen is scratched, the tv box is thin, not thick, makes it safe, pays really, doesn't use money to play, the price is million, kq packing is belittling"
2,credit dg home credit g
2,don't use
2,"When you buy goods, Lazada, when you are disappointed, buy goods according to web advertisements, television websites, flash connections, flash disk goods, advertisements, promise to send wooden packing, bubble wrap, return the goods, pay for the wooden packaging, you will lose money."
2,bad stuff the contents of the song are gone
2,remote bisaconnect bluetooth tv pairing pdhal penct home kiri
2,item memory function gb mb more damaged files read
2,"Thank you, lazada laptop, I'm asking the admin for the white mark on the laptop"
2,"sent fast, disappointed back, no USB, buy carefully, if you exchange it or not, today"
2,"the goods came, why is the Samsung white? Remember, the goods are different from the two white ones"
2,"sent fast, disappointed back, no USB, buy carefully, if you exchange it or not, today"
2,"the goods received according to the advertisement written there, I wrote free bracket, thank you"
2,"the screen is broken, the item is back, the smart comp is waiting for the laptop to be sent according to my request"
2,"Sending a wooden protective laptop package is dangerous because you are worried that on the way, the shock will fall on a pedestal of excess goods"
2,"look at this laptop review, thank you hic hic hic"
2,samsung
2,goods received gb flashdisk bargain gb write covered flashdisk gb
2,packing goods neat goods received defects caring for file save data missing connection tv file support using mama's fd toshiba connect
2,Not bad for storing photo data
2,use corrupted data
2,"I haven't tried the flash drive yet, give it a star"
2,"Sending a wooden protective laptop package is dangerous because you are worried that on the way, the shock will fall on a pedestal of excess goods"
2,"fast delivery, received bubble warp, packing wood, picture description of good goods, received goods according to the picture, the description of goods, added the market application, the YouTube browser, sometimes it freezes again, hopefully the process will return, the goods are working, thank you Lazada"
2,blackboard tv stuff hadeeeh
2,"satisfied with the goods, fast response, working hours, but satisfied, sent using wood, it's really safe, I tried it according, really recommended, the seller's goods, thanks coocaa, thanks lazada"
2,"the goods are satisfied, enter the sll file, it doesn't open"
2,"TV is good, TV doesn't put the TV table because I can't see it with the TV, it's dark, I put the TV"
2,appropriate items do not save data
2,"the goods received according to the advertisement written there, I wrote free bracket, thank you"
2,The original packaged product has been opened using a cutter for it
2,the message is not detected quite disappointed
2,"Invoice goods, defective goods, when buying lazada, success, bad luck"
2,order gb dtg gb
2,good stuff free package unsend
2,fast stuff adapter charger no laptop bag laptop guidebook warranty card dos package disappointed forced to buy the shop because it's already used
2,"Min, I'm sorry, what's the process for credits, please let me know, thanks"
2,"bro, cicil, what's the info, please"
2,microsoft use buy disappointed
2,I bought the coocaa tv
2,"Neat packaging, defective items, the end of the flash drive is open, hopefully it will last"
2,Copy the flash file that opens the missing file
2,how come the flashdisk function is not crooked
2,"Unbox the item quickly, the picture is good, it doesn't match the promise, the VIP card doesn't buy the pay date, just flip through the cardboard looking here and there for the VIP card"
2,"when I bought an asus lazada laptop it died, I used it for weeks, it just died, I brought it to the service center, it died, I took it home, it's good, I'm responsible for replacing the Asus machine, you know, it doesn't work, it's not accidental, it's an asus lazada product"
2,samsung
2,mes color blue black color property select subscribe select idea
2,"estimated date of receipt of May, uh, April arrived, thanks lazada ninja express."
2,the bracket is not available in this case must sprayer order
2,image quality please over all ok price items super fast shipping
2,packing is dangerous packing plywood bubble wrap
2,"detail, see clearly the item so it can make a notebook error"
2,"Like products, accept defects, complain chat, Acer is indifferent to telephoto regarding product defects, accept intention, forced replacement, refund seller funds, Acer cares about customer defects, thank goodness, Lazada returns funds, thank you, Lazada protects the customer"
2,"the contents of the fd gb gb just don't match the slow response, send it late"
2,back because it's broken
2,fast reality capacity fast mbps disappointed
2,"Sorry, bro, send the item after the picture, the condition is damaged, torn, just return it, replace it"
2,"the goods have been received, the defects are many scratches exchanged"
